"T1","T2","T3"
"1",-26.2897428856175,-8.93223137816752,-24.5581601075641
"2",-26.2897428856175,-8.93223137816752,-24.5581601075641
"3",-26.2897428856175,-8.93223137816752,-24.5581601075641
"4",-26.2897428856175,-8.93223137816752,-24.5581601075641
"5",-26.2897428856175,-8.93223137816752,-24.5581601075641
"6",-26.2897428856175,-8.93223137816752,-24.5581601075641
"7",-26.2897428856175,-8.93223137816752,-24.5581601075641
"8",-26.2897428856175,-8.93223137816752,-24.5581601075641
"9",-26.2897428856175,-8.93223137816752,-24.5581601075641
"10",-26.2897428856175,-8.93223137816752,-24.5581601075641
"11",-26.2897428856175,-8.93223137816752,-24.5581601075641
"12",-26.2897428856175,-8.93223137816752,-24.5581601075641
"13",-26.2897428856175,-8.93223137816752,-24.5581601075641
"14",-26.2897428856175,-8.93223137816752,-24.5581601075641
"15",-26.2897428856175,-8.93223137816752,-24.5581601075641
"16",-26.2897428856175,-8.93223137816752,-24.5581601075641
"17",-26.2897428856175,-8.93223137816752,-24.5581601075641
"18",-26.2897428856175,-8.93223137816752,-24.5581601075641
"19",-26.2897428856175,-8.93223137816752,-24.5581601075641
"20",-26.2897428856175,-8.93223137816752,-24.5581601075641
"21",-26.2897428856175,-8.93223137816752,-24.5581601075641
"22",-26.2897428856175,-8.93223137816752,-24.5581601075641
"23",-26.2897428856175,-8.93223137816752,-24.5581601075641
"24",-26.2897428856175,-8.93223137816752,-24.5581601075641
"25",-26.2897428856175,-8.93223137816752,-24.5581601075641
"26",-26.2897428856175,-8.93223137816752,-24.5581601075641
"27",-26.2897428856175,-8.93223137816752,-24.5581601075641
"28",-26.2897428856175,-8.93223137816752,-24.5581601075641
"29",-26.2897428856175,-8.93223137816752,-24.5581601075641
"30",-26.2656267899999,-8.94540535367872,-24.5373763450537
"31",-26.2897428856175,-8.93223137816752,-24.5581601075641
"32",-26.2897428856175,-8.93223137816752,-24.5581601075641
"33",-26.2897428856175,-8.93223137816752,-24.5581601075641
"34",-26.2897428856175,-8.93223137816752,-24.5581601075641
"35",-26.2897428856175,-8.93223137816752,-24.5581601075641
"36",-26.2897428856175,-8.93223137816752,-24.5581601075641
"37",-26.2897428856175,-8.93223137816752,-24.5581601075641
"38",-26.2897428856175,-8.93223137816752,-24.5581601075641
"39",-26.2897428856175,-8.93223137816752,-24.5581601075641
"40",-26.2897428856175,-8.93223137816752,-24.5581601075641
"41",-26.2897428856175,-8.93223137816752,-24.5581601075641
"42",-26.2897428856175,-8.93223137816752,-24.5581601075641
"43",-26.2897428856175,-8.93223137816752,-24.5581601075641
"44",-26.0883531666646,-9.04224517425462,-24.384598177925
"45",-26.2897428856175,-8.93223137816752,-24.5581601075641
"46",-26.2897428856175,-8.93223137816752,-24.5581601075641
"47",-23.4649819902422,-10.4707357486699,-22.1232284493104
"48",-26.2897428856175,-8.93223137816752,-24.5581601075641
"49",-26.2897428856175,-8.93223137816752,-24.5581601075641
"50",-26.2897428856175,-8.93223137816752,-24.5581601075641
"51",-26.2897428856175,-8.93223137816752,-24.5581601075641
"52",-23.449324693939,-10.4792297472622,-22.1097307083233
"53",-26.2897428856175,-8.93223137816752,-24.5581601075641
"54",-26.2897428856175,-8.93223137816752,-24.5581601075641
"55",-26.1474791355684,-9.0099462449932,-24.4355541915094
"56",-26.2897428856175,-8.93223137816752,-24.5581601075641
"57",-26.2897428856175,-8.93223137816752,-24.5581601075641
"58",-26.2897428856175,-8.93223137816752,-24.5581601075641
"59",-26.2897428856175,-8.93223137816752,-24.5581601075641
"60",-26.2897428856175,-8.93223137816752,-24.5581601075641
"61",-25.5234171009977,-9.35080612894466,-23.8977146963435
"62",-26.2204181757558,-8.97010160577488,-24.4984146027894
"63",-26.2897428856175,-8.93223137816752,-24.5581601075641
"64",-26.1085622805523,-9.03120547795879,-24.4020148207451
"65",-26.0870711981238,-9.04294547924722,-24.3834933502563
"66",-25.0252990351716,-9.62244279238408,-23.4683369031952
"67",-25.6362281975349,-9.28922890519359,-23.9949472936188
"68",-25.4872702804613,-9.37052072580603,-23.8665563686027
"69",-26.2848932195865,-8.93488062050522,-24.5539805625564
"70",-25.4788791250809,-9.37509729002581,-23.8593232464197
"71",-25.7464303468445,-9.22902842998791,-24.0899218423891
"72",-26.2897428856175,-8.93223137816752,-24.5581601075641
"73",-25.2382813638715,-9.50632011398659,-23.6519295175603
"74",-24.6293446119144,-9.83807848131491,-23.1270001695125
"75",-24.4161300317786,-9.95408886546859,-22.9431938764021
"76",-25.3943576584666,-9.42119558071099,-23.7864662836546
"77",-24.6452424260763,-9.82942057548556,-23.1407050497713
"78",-24.4495907919377,-9.93589984046858,-22.972039841755
"79",-24.8963240162807,-9.69268223263234,-23.3571526125571
"80",-24.9359473483889,-9.67110347504053,-23.3913103286098
"81",-24.2603640310404,-10.0387621265695,-22.8089105953558
"82",-25.3509475031096,-9.44487162468531,-23.7490470078285
"83",-22.7499588683229,-10.8633108101131,-21.5120201985681
"84",-24.2946269688616,-10.0201370436472,-22.8384481047424
"85",-24.536050372766,-9.88888626713675,-23.0465748756103
"86",-23.0354929964121,-10.7055210262599,-21.7549643200686
"87",-23.2838888702396,-10.5689777871791,-21.9671128607049
"88",-23.5705935486702,-10.4134420492188,-22.2142733802681
"89",-24.927375960523,-9.67577142927715,-23.3839212722805
"90",-23.9746423425693,-10.1940783510051,-22.5625946752439
"91",14.7153735439905,5.28834447215837,7.70845848848193
"92",14.7787816751667,5.03198216221188,7.70350426179676
"93",14.7027019273076,5.33957646501658,7.70944855174905
"94",14.2625766301161,6.43737482045583,7.70832441630658
"95",14.8588890762501,4.70810385189723,7.69724528180847
"96",14.8198303728807,4.86602018271408,7.70029703032922
"97",9.67146389237609,12.2802738688547,7.39191350369809
"98",8.93829224713414,13.0117313536575,7.33076542219959
"99",9.67146389237609,12.2802738688547,7.39191350369809
"100",11.3031481299355,10.5471249133786,7.52319317975566
"101",12.4140620891315,9.24769941875005,7.60635161053556
"102",11.8152138123932,9.96674921034013,7.56254218435014
"103",10.7109483293689,11.1937169135864,7.47641313281177
"104",10.0905952987265,11.8474198370536,7.42623763129316
"105",10.8006979339584,11.0971073663297,7.48357436192315
"106",11.4717980399027,10.3559769544004,7.53615285721404
"107",11.142916524225,10.7287315587739,7.51088039566315
"108",10.8656661363771,11.0271733688435,7.48875825309017
"109",9.94497351324473,11.9978093712398,7.4143121571584
"110",10.6079050816679,11.3046361934404,7.46819118789577
"111",11.3854818490361,10.4538078024224,7.52952000461848
"112",13.0916248036089,8.35473257882728,7.65141515954041
"113",12.9967600876954,8.49122515491717,7.64576001522375
"114",10.770321884877,11.1298051855861,7.48115062035944
"115",12.1164707018678,9.60596098738477,7.58463231569483
"116",12.9634586743129,8.53552238000645,7.64356851879768
"117",12.3915647397317,9.27478331980043,7.60470967267828
"118",11.7545906006575,10.0354596128077,7.5578836744776
"119",13.6867263961839,7.4694774533938,7.68526717132162
"120",12.8555556341976,8.67539596068289,7.63625901296257
"121",11.4153049906472,10.4200062270145,7.53181172417025
"122",13.1361755955011,8.29063232518029,7.65407095369049
"123",10.7429788728769,11.1592381398821,7.47896888847968
"124",8.59629702633297,13.3450328835401,7.30194185688937
"125",9.22098761560736,12.7296969289348,7.35434281985651
"126",13.0059944030634,8.47793870293271,7.64631049793556
"127",10.1194943391502,11.8175746238983,7.42860427415469
"128",8.58256433246367,13.3583800145213,7.30078306908718
"129",9.148031829249,12.8024821441539,7.34825815141771
"130",8.85446739467818,13.0941109774255,7.32372670672072
"131",12.6343858770462,8.96209600024675,7.62127665816773
"132",11.3182487795785,10.530009823551,7.52435356904269
"133",9.33563086897976,12.6153217122913,7.36390431210183
"134",13.2568765825359,8.1169661891641,7.66126626855833
"135",9.88673950487499,12.0579499976135,7.40954317181545
"136",7.18320325889536,14.6849377554811,7.181644076563
"137",10.4125260903426,11.5149488291532,7.45260166271814
"138",7.3609757668743,14.5190579398992,7.19685689490534
"139",7.19684204705058,14.6722113801283,7.18281121094713
"140",13.1859362468532,8.21903605858584,7.65703732176504
"141",11.142916524225,10.7287315587739,7.51088039566315
"142",7.61570200180162,14.2813724768656,7.21865500071503
"143",11.5839207856326,10.2288969339872,7.54476878010834
"144",7.5009152133957,14.388480215337,7.20883216263971
"145",7.47405808227243,14.4135406479564,7.20653387331691
"146",6.00298915456817,15.7606147311212,7.08010195368262
"147",6.61346917320962,15.2084851346698,7.1327085907197
"148",5.45201225202697,16.2530497772794,7.03252136663333
"149",10.2031042351423,11.7312272874059,7.43545137913122
"150",9.18197130534897,12.7686220187866,7.35108877622985
"151",10.003248722146,11.9376261954033,7.41908451655607
"152",4.78152675284463,16.8397988021976,6.97447911682013
"153",6.94522693436961,14.9055796482976,7.16124768218233
"154",10.0970484825104,11.84075537198,7.42676610494185
"155",4.48041349927757,17.1006880264246,6.94840143788003
"156",11.0030895588439,10.8792460917518,7.49972343358379
"157",11.9691073011987,9.78336747608899,7.57387720219072
"158",13.4024321105217,7.9075390192456,7.66994323036569
"159",12.4464316475873,9.2057390991771,7.60854437059274
"160",10.1407719073502,11.7956004147535,7.43034676816669
"161",9.29008622173015,12.6607598758368,7.36010579122352
"162",11.4469707558567,10.3841162203703,7.53424503767553
"163",11.3335997162321,10.5126110582015,7.52553319130133
"164",11.1206703695519,10.7526780813352,7.50910534817197
"165",9.46450371696747,12.4867501699244,7.37465258293696
"166",6.78018579725904,15.056267504802,7.14705020239881
"167",6.68087715416905,15.1469394840527,7.13850728711548
"168",5.19980452885118,16.4738544230001,7.01068944966774
"169",4.41056512436927,17.1605315020343,6.94234955382904
"170",3.63968025821543,17.8189411660967,6.87555368617629
"171",14.1688956954255,6.62098720111517,7.70542855511464
"172",14.818310979563,3.89604999730922,7.65001057476327
"173",6.54929006296449,15.2670827226683,7.12718765432662
"174",13.7470564773368,7.36965696827689,7.68813522790468
"175",13.3908180827069,7.92424943217369,7.66925088650783
"176",4.11748651052617,17.4116302985673,6.91695629605988
"177",10.0914002218642,11.8465885602268,7.42630354924649
"178",6.49635276673601,15.3154161735731,7.12263378244863
"179",3.01741346892445,18.3416043340609,6.82161832370043
"180",2.65532473258956,18.6408938330912,6.79021114879596
"181",2.35686693112003,18.8873476367611,6.76432211178023
"182",2.35686693112003,18.8873476367611,6.76432211178023
"183",4.25391829093132,17.2947406510445,6.92877717688877
"184",5.24865332359924,16.4311174121092,7.01491829283967
"185",4.28712312266595,17.2662919929241,6.9316541484984
"186",6.08279381479363,15.6892893972269,7.08699362657359
"187",4.38473289663442,17.1826635887497,6.94011136794089
"188",2.35686693112003,18.8873476367611,6.76432211178023
"189",2.71186702139535,18.5942036072845,6.79511577987158
"190",2.35686693112003,18.8873476367611,6.76432211178023
"191",4.47533574072084,17.1050384600709,6.94796148482365
"192",4.64206426279078,16.9618122518037,6.96240584046101
"193",2.35686693112003,18.8873476367611,6.76432211178023
"194",4.82159781433607,16.8047412864451,6.97794807108305
"195",4.2270334175036,17.3177746052254,6.92644778644949
"196",2.52520445253989,18.7483416457968,6.77892416373437
"197",2.35686693112003,18.8873476367611,6.76432211178023
"198",2.35686693112003,18.8873476367611,6.76432211178023
"199",3.37806130454211,18.0386838769076,6.85287770002411
"200",3.0442781233837,18.3190397915727,6.82394683439871
"201",4.00645762532928,17.5067556954285,6.90733640239158
"202",2.78146861584865,18.5367295603336,6.80115321044395
"203",2.35686693112003,18.8873476367611,6.76432211178023
"204",2.35686693112003,18.8873476367611,6.76432211178023
"205",5.09110676374721,16.5689523183531,7.00127947744358
"206",3.3573803243964,18.0560545397576,6.85108516315775
"207",2.35686693112003,18.8873476367611,6.76432211178023
"208",2.35686693112003,18.8873476367611,6.76432211178023
"209",2.35686693112003,18.8873476367611,6.76432211178023
"210",2.35686693112003,18.8873476367611,6.76432211178023
"211",2.35686693112003,18.8873476367611,6.76432211178023
"212",2.35686693112003,18.8873476367611,6.76432211178023
"213",2.35686693112003,18.8873476367611,6.76432211178023
"214",2.35686693112003,18.8873476367611,6.76432211178023
"215",4.34591301047345,17.2159230155251,6.93674789026188
"216",2.35686693112003,18.8873476367611,6.76432211178023
"217",2.72910144710692,18.579972148935,6.79661074057622
"218",7.97955041199232,13.9376381110689,7.24967204423274
"219",3.79105692050972,17.6913029643107,6.88867340426484
"220",2.35686693112003,18.8873476367611,6.76432211178023
"221",2.35686693112003,18.8873476367611,6.76432211178023
"222",3.11704992025288,18.257916269404,6.83025437532763
"223",3.02600562862625,18.3343874851358,6.82236305450712
"224",2.35686693112003,18.8873476367611,6.76432211178023
"225",3.70439708642765,17.7645832877139,6.88116305766773
"226",4.12002812181103,17.4094527410632,6.91717650929776
"227",5.45695474243266,16.2486324315071,7.0329481841531
"228",2.35686693112003,18.8873476367611,6.76432211178023
"229",2.35686693112003,18.8873476367611,6.76432211178023
"230",3.46880771328224,17.9624628632045,6.86074320165944
"231",4.66838906655173,16.9387811119191,6.96468478034501
"232",2.99251932520164,18.3624528289794,6.81946031985685
"233",2.35686693112003,18.8873476367611,6.76432211178023
"234",2.35686693112003,18.8873476367611,6.76432211178023
"235",2.35686693112003,18.8873476367611,6.76432211178023
"236",2.35686693112003,18.8873476367611,6.76432211178023
"237",2.35686693112003,18.8873476367611,6.76432211178023
"238",2.35686693112003,18.8873476367611,6.76432211178023
"239",2.35686693112003,18.8873476367611,6.76432211178023
"240",14.6475462776668,5.48274266739024,7.70960447834375
"241",14.5785485829434,5.66183833556583,7.7097995367947
"242",14.1845445609575,6.59031580074505,7.70591229220097
"243",14.0028653877839,6.9464026140632,7.70029623308805
"244",12.9888389181551,8.50262223575793,7.64528781271435
"245",14.2414938302768,6.47869660148034,7.70767270566691
"246",12.9430304077212,8.56200332801436,7.64218467888276
"247",13.5522466339206,7.69198395182694,7.67887408249964
"248",12.9410147897283,8.56461615250614,7.64204813804512
"249",13.8192945174204,7.25013390337746,7.69156938185326
"250",12.6879268270346,8.89269142758878,7.62490359848321
"251",13.5522466339206,7.69198395182694,7.67887408249964
"252",5.86269901725331,15.8859988986345,7.06798695020447
"253",9.4260909607217,12.5250731168772,7.37144887700433
"254",4.74671488823788,16.8702551326866,6.97146545155565
"255",8.25429686986987,13.6758437202763,7.27303035870285
"256",8.23331563345838,13.6958358615648,7.27124658204615
"257",5.31634471638682,16.3718953206389,7.02077834088515
"258",3.94348915448951,17.5607047265094,6.9018806149822
"259",5.4083077394316,16.2914383771729,7.02873958545788
"260",13.0517712305442,8.4120744134769,7.64903937940925
"261",7.70264155611349,14.2002490377018,7.22609482176243
"262",8.23210992439763,13.6969847312226,7.2711440754238
"263",11.1221215969693,10.7511159304555,7.50922114335654
"264",11.3472525777124,10.4971368927739,7.52658232723744
"265",12.8080057484927,8.73703437946327,7.63303791588645
"266",12.1171488242452,9.60514461568502,7.58468180751644
"267",11.8419789650717,9.93641356232676,7.56459891681982
"268",9.54218187102085,12.409253627939,7.38113110692999
"269",10.5728370700052,11.3423846018642,7.46539306898321
"270",4.11691032660769,17.412123951402,6.91690637366339
"271",3.54796777760711,17.8959736166172,6.86760444965861
"272",2.35686693112003,18.8873476367611,6.76432211178023
"273",14.5467240800894,5.74444443749201,7.70988950557197
"274",13.887210373312,7.13776220500294,7.69479806170685
"275",2.35686693112003,18.8873476367611,6.76432211178023
"276",13.8048942461354,0.105986290041879,7.31909738137096
"277",3.83056286466369,17.6574557487023,6.89209632417756
"278",2.55854649337593,18.720809201526,6.78181634254536
"279",2.35686693112003,18.8873476367611,6.76432211178023
"280",3.33192772215828,18.0774330512701,6.84887904296735
"281",13.2804230563235,8.08308721915767,7.66266993804846
"282",13.1069092571155,8.33274111010098,7.65232630747934
"283",14.0475281936694,0.593555519461261,7.3767705720293
"284",14.0686127806594,0.635924676522154,7.38178230026349
"285",13.8048942461354,0.105986290041879,7.31909738137096
"286",14.2321872389854,6.49693729675605,7.7073850207005
"287",14.1436293278185,0.786669287751471,7.39961345567602
"288",13.9430079627492,0.383523704183871,7.35192650026284
"289",14.78242042768,3.17780386504973,7.60823237809324
"290",13.8048942461354,0.105986290041879,7.31909738137096
"291",13.8048942461354,0.105986290041879,7.31909738137096
"292",13.8048942461354,0.105986290041879,7.31909738137096
"293",2.35686693112003,18.8873476367611,6.76432211178023
"294",2.35686693112003,18.8873476367611,6.76432211178023
"295",2.35686693112003,18.8873476367611,6.76432211178023
"296",14.5036905512488,5.85614554044289,7.71001116258542
"297",2.35686693112003,18.8873476367611,6.76432211178023
"298",2.35686693112003,18.8873476367611,6.76432211178023
"299",2.35686693112003,18.8873476367611,6.76432211178023
"300",2.35686693112003,18.8873476367611,6.76432211178023
"301",2.35686693112003,18.8873476367611,6.76432211178023
"302",2.35686693112003,18.8873476367611,6.76432211178023
"303",2.35686693112003,18.8873476367611,6.76432211178023
"304",2.35686693112003,18.8873476367611,6.76432211178023
"305",2.35686693112003,18.8873476367611,6.76432211178023
"306",2.35686693112003,18.8873476367611,6.76432211178023
"307",2.35686693112003,18.8873476367611,6.76432211178023
"308",13.7157232525396,-0.852679873613348,7.36482802514346
"309",2.35686693112003,18.8873476367611,6.76432211178023
"310",2.35686693112003,18.8873476367611,6.76432211178023
"311",2.35686693112003,18.8873476367611,6.76432211178023
"312",2.35686693112003,18.8873476367611,6.76432211178023
"313",2.35686693112003,18.8873476367611,6.76432211178023
"314",2.35686693112003,18.8873476367611,6.76432211178023
"315",2.35686693112003,18.8873476367611,6.76432211178023
"316",2.35686693112003,18.8873476367611,6.76432211178023
"317",2.35686693112003,18.8873476367611,6.76432211178023
"318",2.35686693112003,18.8873476367611,6.76432211178023
"319",2.35686693112003,18.8873476367611,6.76432211178023
"320",2.35686693112003,18.8873476367611,6.76432211178023
"321",2.35686693112003,18.8873476367611,6.76432211178023
"322",2.35686693112003,18.8873476367611,6.76432211178023
"323",2.35686693112003,18.8873476367611,6.76432211178023
"324",11.6699818468239,-28.6916541561753,8.2247633406781
"325",8.68479360908405,-30.8093879508812,5.28080095218421
"326",11.3627957275018,-35.3371509981664,8.13503665969717
"327",10.8900817521816,-35.1912783401841,7.44968635218005
"328",11.3995162994743,-36.3275805816506,7.98379517960681
"329",11.3736308031176,-34.8255059589007,8.16517601461206
"330",11.8371509919677,-24.637215817452,8.20348474091265
"331",7.99155564261406,-29.8113989256236,4.66710955560415
"332",11.814425390042,-25.1812046295695,8.20581162499589
"333",10.5730921464744,-34.4842277457536,7.11734346826981
"334",11.6477631102659,-29.2446246724435,8.22826606028371
"335",11.2039580263894,-35.8913845968581,7.77876511149295
"336",10.487025066525,-34.2922536906318,7.02710776007904
"337",10.2206812673707,-33.6981694111339,6.74786369425217
"338",10.6632875268003,-34.6854100436149,7.21190742958964
"339",11.3995162994743,-36.3275805816506,7.98379517960681
"340",11.7246534527211,-27.3493669981027,8.21676685141392
"341",10.9754759875945,-35.3817516043622,7.53921662684978
"342",11.2258197717535,-35.9401475839614,7.80168572267643
"343",11.3995162994743,-36.3275805816506,7.98379517960681
"344",11.1768845869036,-35.8309968392247,7.75038037964654
"345",11.36490663625,-35.0886556203344,8.15405132646482
"346",11.3995162994743,-36.3275805816506,7.98379517960681
"347",10.721072327927,-34.8143000048315,7.2724910168962
"348",11.3628700553586,-35.2730028949517,8.14059876180758
"349",11.3995162994743,-36.3275805816506,7.98379517960681
"350",11.7228809370819,-27.3925005075848,8.21700811352262
"351",11.7298385573193,-27.223189404286,8.21606109218589
"352",11.6860349962854,-28.2963467762999,8.22236049713993
"353",11.4970505266018,-32.7687287073297,8.240517756767
"354",11.3714679206968,-35.8597694894185,8.07370759340698
"355",11.690061653808,-28.1971906923963,8.22175778500348
"356",11.3843038069729,-34.5035729429908,8.17878577715854
"357",11.3793136825974,-34.6540915609676,8.17242258187179
"358",11.6776433043062,-28.5029914460572,8.22361656984361
"359",11.6741834046357,-28.5881911681827,8.22413444937783
"360",11.5137795288455,-32.4230860604331,8.24106243605484
"361",11.726782103034,-27.2975670836604,8.21647711480916
"362",11.7483997524481,-26.771509617434,8.21353467550568
"363",11.3863900244976,-34.4406457381771,8.181446033401
"364",11.3807638851355,-34.6103486669257,8.17427181873655
"365",11.5183748264607,-32.3281413166958,8.24121205426853
"366",11.4895623165232,-32.8827865550914,8.23781490883364
"367",11.3706703195006,-34.9148039140324,8.16140093127122
"368",11.5361704493472,-31.9604609190201,8.24179146163901
"369",11.5116629907913,-32.4668164518003,8.24099352372981
"370",11.786085560605,-25.8614032371672,8.20890102399707
"371",11.4805568921947,-33.0199540899631,8.2345644267719
"372",12.0422306457468,-19.7345771666706,8.19142904011915
"373",12.0734875836043,-18.9763423413839,8.19045313629714
"374",12.0234132520644,-20.1857818794918,8.19223156154903
"375",12.0523016241971,-19.4930945779462,8.19099953451585
"376",12.0792055152321,-18.8364352556253,8.19032359928863
"377",12.0393998314356,-19.8024546198348,8.1915497682703
"378",11.8501715244933,-24.326334729482,8.20227298040291
"379",11.5562892531239,-31.5447806238977,8.24244650941494
"380",8.6701952872247,-30.788372129897,5.26787773539156
"381",11.7971599199558,-25.5944928053262,8.20757944384902
"382",8.34847895381093,-30.3252276030212,4.98307719718581
"383",9.11402038941573,-31.5778342634884,5.68042878935807
"384",11.5429581654114,-31.8202179976185,8.24201246276615
"385",9.43083993958725,-32.1450374908897,5.97540085869542
"386",11.7049086821774,-27.8315839373008,8.21953547428096
"387",11.7402969545637,-26.96868819327,8.21463757020558
"388",11.6582433287977,-28.983549597324,8.22660636749059
"389",11.7978700216014,-25.5774949122925,8.20750673623837
"390",11.7701576557439,-26.2453854797176,8.21081143063083
"391",11.671212378361,-28.661352426354,8.22457915409469
"392",11.5986038464399,-30.4809927133346,8.23625902711101
"393",11.5925526202584,-30.6354037176934,8.23723592910033
"394",11.8868038123694,-23.4536082925137,8.19917325436058
"395",11.6797894848755,-28.4501419401299,8.2232953284495
"396",11.633538853989,-29.6001420472646,8.23053944098219
"397",11.581506614023,-30.9173094843939,8.23901887018547
"398",11.8415617384573,-24.5316345989095,8.20303312269654
"399",11.6136037198408,-30.1027861691538,8.23380323637683
"400",11.6012198686666,-30.415032374909,8.23583072995322
"401",11.7151715723976,-27.5801050326825,8.21805745691873
"402",11.7341919029721,-27.1172523553558,8.21546854601654
"403",11.7916549665732,-25.727138686243,8.20823302464621
"404",11.7906392184687,-25.7516258512782,8.2083548543491
"405",11.6740527650105,-28.5914081573521,8.22415400358306
"406",11.6940504922782,-28.0989658992989,8.22116073364194
"407",11.668827472916,-28.7200805111445,8.22493612794904
"408",11.7281674764589,-27.2638545361144,8.21628854772042
"409",11.7012739714184,-27.921088366957,8.2200795196274
"410",7.72768578252471,14.1768802294102,7.22823797241744
"411",5.63812729155563,16.0867096500285,7.04859366076877
"412",5.98810390539837,15.7739184074245,7.07881651160581
"413",6.40725060367858,15.3967693088949,7.11496886822892
"414",6.65204793176623,15.1732614896121,7.13602728540558
"415",5.50981184923387,16.2013914460731,7.03751275330242
"416",6.66776860499669,15.1589080102713,7.1373796387902
"417",6.27567628978498,15.5169008814154,7.10365033459398
"418",6.02936517389833,15.7370411906762,7.08237970158451
